timestamp,viewers,channel_name
2020-08-23 12:18:32.172930002,56862,Навальный LIVE
2020-08-23 12:18:32.499459982,56967,Навальный LIVE
2020-08-23 12:18:32.594460011,57089,Навальный LIVE
2020-08-23 12:18:32.713629961,56808,Навальный LIVE
2020-08-23 12:18:32.864830017,56915,Навальный LIVE
2020-08-23 12:18:32.988819838,57120,Навальный LIVE
2020-08-23 12:18:33.089879990,57003,Навальный LIVE
2020-08-23 12:18:33.207679987,56544,Навальный LIVE
2020-08-23 12:18:33.359730005,56134,Навальный LIVE
2020-08-23 12:18:33.478729963,55881,Навальный LIVE
2020-08-23 12:18:33.568040133,55786,Навальный LIVE
2020-08-23 12:18:33.758380175,55740,Навальный LIVE
2020-08-23 12:18:33.860300064,55774,Навальный LIVE
2020-08-23 12:18:33.971130133,55758,Навальный LIVE
2020-08-23 12:18:34.136549950,55498,Навальный LIVE
2020-08-23 12:18:34.246599913,55230,Навальный LIVE
2020-08-23 12:18:34.379600048,54735,Навальный LIVE
2020-08-23 12:18:34.534880161,54163,Навальный LIVE
2020-08-23 12:18:34.624880075,53842,Навальный LIVE
2020-08-23 12:18:34.742680073,53368,Навальный LIVE
2020-08-23 12:18:34.849649906,53036,Навальный LIVE
2020-08-23 12:18:34.910690069,52750,Навальный LIVE
2020-08-23 12:18:35.057189941,52739,Навальный LIVE
2020-08-23 12:18:35.157230139,52887,Навальный LIVE
2020-08-23 12:18:35.291650057,53081,Навальный LIVE
2020-08-23 12:18:35.426739931,53009,Навальный LIVE
2020-08-23 12:18:35.508830070,52539,Навальный LIVE
2020-08-23 12:18:35.655019999,52195,Навальный LIVE
2020-08-23 12:18:35.814039946,51573,Навальный LIVE
2020-08-23 12:18:35.932460070,51245,Навальный LIVE
2020-08-23 12:18:36.034980059,50812,Навальный LIVE
2020-08-23 12:18:36.166000128,50465,Навальный LIVE
2020-08-23 12:18:36.279209852,50221,Навальный LIVE
2020-08-23 12:18:36.410409927,49853,Навальный LIVE
2020-08-23 12:18:36.437540054,49795,Навальный LIVE
2020-08-23 12:18:36.459769964,49715,Навальный LIVE
2020-08-23 12:18:36.489769936,49637,Навальный LIVE
2020-08-23 12:18:36.496799946,49600,Навальный LIVE
2020-08-23 12:18:36.513809918,49600,Навальный LIVE
2020-08-23 12:18:36.536799908,49523,Навальный LIVE
2020-08-23 12:18:36.559910059,49442,Навальный LIVE
2020-08-23 12:18:36.574880123,49358,Навальный LIVE
2020-08-23 12:18:36.600880146,49280,Навальный LIVE
2020-08-23 12:18:36.638880014,49232,Навальный LIVE
2020-08-23 12:18:36.668879986,49189,Навальный LIVE
2020-08-23 12:18:36.692880154,49164,Навальный LIVE
2020-08-23 12:18:36.713880062,49103,Навальный LIVE
2020-08-23 12:18:36.722909927,49061,Навальный LIVE
2020-08-23 12:18:36.752909899,49033,Навальный LIVE
2020-08-23 12:18:36.776880026,48996,Навальный LIVE
2020-08-23 12:18:36.806020021,49002,Навальный LIVE
2020-08-23 12:18:36.817880154,48980,Навальный LIVE
2020-08-23 12:18:36.837880135,48990,Навальный LIVE
2020-08-23 12:18:36.856889963,48929,Навальный LIVE
2020-08-23 12:18:36.886880159,48895,Навальный LIVE
2020-08-23 12:18:36.915879965,48892,Навальный LIVE
2020-08-23 12:18:36.943880081,48840,Навальный LIVE
2020-08-23 12:18:36.977880001,48791,Навальный LIVE
2020-08-23 12:18:37.011899948,48780,Навальный LIVE
2020-08-23 12:18:43.602710009,48777,Навальный LIVE
2020-08-23 12:18:48.629650116,48788,Навальный LIVE
2020-08-23 12:18:53.643199921,48773,Навальный LIVE
2020-08-23 12:18:58.680969954,48778,Навальный LIVE
2020-08-23 12:19:03.706330061,48732,Навальный LIVE
2020-08-23 12:19:08.727699995,48675,Навальный LIVE
2020-08-23 12:19:13.757410049,48649,Навальный LIVE
2020-08-23 12:19:18.772109985,48626,Навальный LIVE
2020-08-23 12:19:23.803339958,48626,Навальный LIVE
2020-08-23 12:19:28.825639963,48603,Навальный LIVE
2020-08-23 12:19:33.847530127,48547,Навальный LIVE
2020-08-23 12:19:38.872619867,48613,Навальный LIVE
2020-08-23 12:19:43.896290064,48628,Навальный LIVE
2020-08-23 12:19:48.941069841,48634,Навальный LIVE
2020-08-23 12:19:53.972280025,48655,Навальный LIVE
2020-08-23 12:19:58.993149996,48688,Навальный LIVE
2020-08-23 12:20:04.024330139,48659,Навальный LIVE
2020-08-23 12:20:09.059520006,48712,Навальный LIVE
2020-08-23 12:20:14.092769861,48725,Навальный LIVE
2020-08-23 12:20:19.123469830,48669,Навальный LIVE
2020-08-23 12:20:24.151619911,48644,Навальный LIVE
2020-08-23 12:20:29.181480169,48627,Навальный LIVE
2020-08-23 12:20:34.207050085,48593,Навальный LIVE
2020-08-23 12:20:49.252219915,48531,Навальный LIVE
2020-08-23 12:20:54.273969889,48508,Навальный LIVE
2020-08-23 12:20:59.293590069,48508,Навальный LIVE
2020-08-23 12:21:04.322809935,48449,Навальный LIVE
2020-08-23 12:21:09.341759920,48428,Навальный LIVE
