timestamp,Телеканал Дождь,Эхо Москвы
2020-10-29 14:00:17.917417288,759.0,
2020-10-29 14:00:23.008912563,920.0,
2020-10-29 14:00:28.073569059,1067.0,
2020-10-29 14:00:33.141354561,1217.0,
2020-10-29 14:00:38.218957424,1342.0,
2020-10-29 14:00:43.298209190,1418.0,
2020-10-29 14:00:48.387255430,1523.0,
2020-10-29 14:00:53.451375246,1625.0,
2020-10-29 14:00:58.522789478,1696.0,
2020-10-29 14:01:03.589586973,1759.0,
2020-10-29 14:01:08.649223328,1849.0,
2020-10-29 14:01:13.721175909,1923.0,
2020-10-29 14:01:18.803786755,2007.0,
2020-10-29 14:01:23.879558086,2094.0,
2020-10-29 14:01:28.952859640,2154.0,
2020-10-29 14:01:34.022701979,2224.0,
2020-10-29 14:01:39.087455511,2307.0,
2020-10-29 14:01:44.153859854,2379.0,
2020-10-29 14:01:49.226866007,2453.0,
2020-10-29 14:01:54.316764355,2508.0,
2020-10-29 14:01:59.385487318,2613.0,
2020-10-29 14:02:04.491224051,2687.0,
2020-10-29 14:02:09.565401793,2761.0,
2020-10-29 14:02:14.639391422,2851.0,
2020-10-29 14:02:19.703268766,2931.0,
2020-10-29 14:02:24.771109104,3005.0,
2020-10-29 14:02:29.848098040,3087.0,
2020-10-29 14:02:34.930355310,3164.0,
2020-10-29 14:02:40.005741835,3224.0,
2020-10-29 14:02:45.071147442,3294.0,
2020-10-29 14:02:50.150837421,3357.0,
2020-10-29 14:02:55.222068548,3431.0,
2020-10-29 14:03:00.293979406,3518.0,
2020-10-29 14:03:05.366856098,3596.0,
2020-10-29 14:03:10.429580212,3667.0,
2020-10-29 14:03:11.011136770,,326.0
2020-10-29 14:03:15.502526045,3701.0,
2020-10-29 14:03:16.074399471,,325.0
2020-10-29 14:03:20.564157486,3772.0,
2020-10-29 14:03:21.144740105,,325.0
2020-10-29 14:03:25.638415337,3869.0,
2020-10-29 14:03:26.218225479,,297.0
2020-10-29 14:03:30.711469650,3928.0,
2020-10-29 14:03:31.292376041,,239.0
2020-10-29 14:03:35.786092997,3974.0,
2020-10-29 14:03:36.362560511,,215.0
2020-10-29 14:03:40.872426748,4014.0,
2020-10-29 14:03:41.693592548,,216.0
2020-10-29 14:03:45.938184023,4073.0,
2020-10-29 14:03:46.756878614,,265.0
2020-10-29 14:03:51.034299135,4120.0,
2020-10-29 14:03:51.821929455,,323.0
2020-10-29 14:03:56.116900921,4178.0,
2020-10-29 14:03:56.884282112,,323.0
2020-10-29 14:04:01.188933611,4215.0,
2020-10-29 14:04:01.957376480,,330.0
2020-10-29 14:04:06.261139393,4252.0,
2020-10-29 14:04:07.022249222,,336.0
2020-10-29 14:04:11.332319498,4278.0,
2020-10-29 14:04:12.102900982,,357.0
2020-10-29 14:04:16.406850576,4304.0,
2020-10-29 14:04:17.169618845,,372.0
2020-10-29 14:04:21.469376564,4356.0,
2020-10-29 14:04:22.244638681,,389.0
2020-10-29 14:04:26.536544800,4415.0,
2020-10-29 14:04:27.319487333,,395.0
2020-10-29 14:04:31.615378618,4462.0,
2020-10-29 14:04:32.389198542,,408.0
2020-10-29 14:04:36.684024334,4497.0,
2020-10-29 14:04:37.453806162,,430.0
2020-10-29 14:04:41.771650553,4550.0,
2020-10-29 14:04:42.521142006,,447.0
2020-10-29 14:04:46.847838640,4623.0,
2020-10-29 14:04:47.599056482,,463.0
2020-10-29 14:04:51.922936440,4667.0,
2020-10-29 14:04:52.663128614,,491.0
2020-10-29 14:04:56.990367174,4710.0,
2020-10-29 14:04:57.738006115,,515.0
2020-10-29 14:05:02.061002016,4759.0,
2020-10-29 14:05:02.807804585,,528.0
2020-10-29 14:05:07.148610592,4821.0,
2020-10-29 14:05:07.875242472,,550.0
2020-10-29 14:05:12.221741915,4930.0,
2020-10-29 14:05:12.946220636,,569.0
2020-10-29 14:05:17.292882204,4982.0,
2020-10-29 14:05:18.013674021,,590.0
2020-10-29 14:05:22.362497568,5058.0,
2020-10-29 14:05:23.110678673,,604.0
2020-10-29 14:05:27.431229591,5114.0,
2020-10-29 14:05:28.190210581,,628.0
2020-10-29 14:05:32.507688045,5141.0,
2020-10-29 14:05:33.247334003,,645.0
2020-10-29 14:05:37.578127623,5176.0,
2020-10-29 14:05:38.329395294,,654.0
2020-10-29 14:05:42.646350861,5222.0,
2020-10-29 14:05:43.398577452,,675.0
2020-10-29 14:05:47.727112770,5259.0,
2020-10-29 14:05:48.487374067,,684.0
2020-10-29 14:05:52.791670561,5259.0,
2020-10-29 14:05:53.562142611,,699.0
2020-10-29 14:05:57.878033876,5400.0,
2020-10-29 14:05:58.632619858,,717.0
2020-10-29 14:06:02.946924686,5469.0,
2020-10-29 14:06:03.700457811,,731.0
2020-10-29 14:06:08.017296553,5513.0,
2020-10-29 14:06:08.763847351,,739.0
2020-10-29 14:06:13.091251612,5552.0,
2020-10-29 14:06:13.831552505,,746.0
2020-10-29 14:06:18.185246229,5625.0,
2020-10-29 14:06:18.902312994,,760.0
2020-10-29 14:06:23.252761601,5685.0,
2020-10-29 14:06:23.987769842,,781.0
2020-10-29 14:06:28.317040205,5760.0,
2020-10-29 14:06:29.085265398,,801.0
2020-10-29 14:06:33.386660576,5812.0,
2020-10-29 14:06:34.160366297,,831.0
2020-10-29 14:06:38.454338551,5856.0,
2020-10-29 14:06:39.240846395,,844.0
2020-10-29 14:06:43.527751207,5895.0,
2020-10-29 14:06:44.311246395,,855.0
2020-10-29 14:06:48.590664148,5930.0,
2020-10-29 14:06:49.374253511,,871.0
2020-10-29 14:06:53.672462702,5977.0,
2020-10-29 14:06:54.436926603,,902.0
2020-10-29 14:06:58.748485088,6038.0,
2020-10-29 14:06:59.507750750,,924.0
2020-10-29 14:07:03.826239824,6105.0,
2020-10-29 14:07:04.592002630,,927.0
2020-10-29 14:07:08.896842241,6162.0,
2020-10-29 14:07:09.661319971,,940.0
2020-10-29 14:07:13.970576048,6202.0,
2020-10-29 14:07:14.730870485,,951.0
2020-10-29 14:07:19.040692806,6249.0,
2020-10-29 14:07:19.808840990,,969.0
2020-10-29 14:07:24.116687298,6289.0,
2020-10-29 14:07:24.877901077,,985.0
2020-10-29 14:07:29.187893629,6295.0,
2020-10-29 14:07:29.945868492,,1005.0
2020-10-29 14:07:34.251768589,6325.0,
2020-10-29 14:07:35.018557787,,1028.0
2020-10-29 14:07:39.319453478,6349.0,
2020-10-29 14:07:40.123992920,,1053.0
2020-10-29 14:07:44.396615505,6355.0,
2020-10-29 14:07:45.197508574,,1068.0
2020-10-29 14:07:49.467881918,6359.0,
2020-10-29 14:07:50.271135569,,1082.0
2020-10-29 14:07:54.536456108,6371.0,
2020-10-29 14:07:55.325016022,,1098.0
2020-10-29 14:07:59.603897572,6391.0,
2020-10-29 14:08:00.382151604,,1110.0
2020-10-29 14:08:04.676679373,6416.0,
2020-10-29 14:08:05.464216471,,1115.0
2020-10-29 14:08:09.749529600,6434.0,
2020-10-29 14:08:10.529140234,,1129.0
2020-10-29 14:08:14.829986572,6459.0,
2020-10-29 14:08:15.605631828,,1143.0
2020-10-29 14:08:19.906327486,6461.0,
2020-10-29 14:08:20.677601814,,1156.0
2020-10-29 14:08:24.983078957,6466.0,
2020-10-29 14:08:25.737106085,,1172.0
2020-10-29 14:08:30.049191475,6503.0,
2020-10-29 14:08:30.806595802,,1185.0
2020-10-29 14:08:35.106772661,6545.0,
2020-10-29 14:08:35.871888638,,1206.0
2020-10-29 14:08:40.176031828,6570.0,
2020-10-29 14:08:40.934874773,,1217.0
2020-10-29 14:08:45.251230954,6604.0,
2020-10-29 14:08:45.999784708,,1234.0
2020-10-29 14:08:50.319840908,6644.0,
2020-10-29 14:08:51.081684589,,1254.0
2020-10-29 14:08:55.407557011,6693.0,
2020-10-29 14:08:56.166303635,,1269.0
2020-10-29 14:09:00.481086493,6714.0,
2020-10-29 14:09:01.231351614,,1276.0
2020-10-29 14:09:05.555180550,6745.0,
2020-10-29 14:09:06.327392101,,1294.0
2020-10-29 14:09:10.623762608,6799.0,
2020-10-29 14:09:11.399081945,,1307.0
2020-10-29 14:09:15.711320639,6864.0,
2020-10-29 14:09:16.467205048,,1330.0
2020-10-29 14:09:20.776574373,6903.0,
2020-10-29 14:09:21.522232533,,1348.0
2020-10-29 14:09:25.857836485,6919.0,
2020-10-29 14:09:26.605247498,,1360.0
2020-10-29 14:09:30.933908701,6954.0,
2020-10-29 14:09:31.675602436,,1365.0
2020-10-29 14:09:35.997448444,6990.0,
2020-10-29 14:09:36.735257387,,1371.0
2020-10-29 14:09:41.066911936,7047.0,
2020-10-29 14:09:41.795031071,,1387.0
2020-10-29 14:09:46.131894826,7101.0,
2020-10-29 14:09:46.869172573,,1400.0
2020-10-29 14:09:51.218343973,7147.0,
2020-10-29 14:09:51.932670593,,1400.0
2020-10-29 14:09:56.279056787,7191.0,
2020-10-29 14:09:56.996255398,,1428.0
2020-10-29 14:10:01.342108250,7231.0,
2020-10-29 14:10:02.062825679,,1437.0
2020-10-29 14:10:06.406956434,7271.0,
2020-10-29 14:10:07.129500628,,1457.0
2020-10-29 14:10:11.518327950,7299.0,
2020-10-29 14:10:12.204992533,,1459.0
2020-10-29 14:10:16.595798492,7341.0,
2020-10-29 14:10:17.276143789,,1472.0
2020-10-29 14:10:21.665691376,7368.0,
2020-10-29 14:10:22.336801052,,1485.0
2020-10-29 14:10:26.733887434,7400.0,
